RA;Ano_avaliacao;Nome_aluno;Idade;Fase;Turma;Instituicao_ensino;INDE;Pedra_atual;Pedra 20;Pedra 21;IDA;IEG;IAA;IPS;IPV;IAN;Nota_mat;Nota_port;Nota_ing;Atingiu PV;Defasagem;Fase ideal;IPP;Atingiu_PV_calculado;Delta_INDE;Delta_IDA;Delta_IEG;Delta_IAA;Delta_IPS;Delta_IPP;Delta_IPV;Delta_IAN;Evolucao_INDE;Evolucao_IDA;Evolucao_IEG;Evolucao_IAA;Evolucao_IPS;Evolucao_IPP;Evolucao_IPV;Evolucao_IAN;Persona_aluno
RA-854;2023;Aluno-854;8;Alfa;ALFA J - G2/G3;Escola Pública;6.6415;Ágata;Pré-ingresso;Pré-ingresso;6.0;9.5;0.0;3.77;8.01;10.0;7.5;4.5;;Não avaliado;0;ALFA (1° e 2° ano);5.625;Não;-1.456500000000001;-3.3000000000000007;0.5;-8.0;-3.73;;0.843;0.0;Recuo;Recuo;Avanço;Recuo;Recuo;Sem dados;Avanço;Neutra;Crise de autopercepção (invisíveis)
RA-854;2024;Aluno-854;9;Fase 1;1G;Escola Pública;7.826199999900001;Ametista;Pré-ingresso;Pré-ingresso;7.0;10.0;9.502;6.26;6.333333333;10.0;7.0;7.0;;Não avaliado;0;Fase 1 (3° e 4° ano);5.833333333;Não;1.1846999999000012;1.0;0.5;9.502;2.4899999999999998;0.20833333299999968;-1.676666667;0.0;Avanço;Avanço;Avanço;Avanço;Avanço;Avanço;Recuo;Neutra;Alto desempenho (estrelas resilientes)
RA-855;2022;Aluno-855;9;Alfa;Z;Escola Pública;8.453;Topázio;Pré-ingresso;Pré-ingresso;9.7;9.6;10.0;7.5;9.0;5.0;9.7;9.6;;Sim;-1;Fase 1 (4º ano);;Sim;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-855;2023;Aluno-855;9;Fase 1;1F;Escola Pública;8.62995;Topázio;Pré-ingresso;Pré-ingresso;6.8;10.0;9.5;7.52;8.67;10.0;5.2;8.3;;Não avaliado;0;Fase 1 (3° e 4° ano);8.4375;Não;0.17694999999999972;-2.8999999999999995;0.40000000000000036;-0.5;0.019999999999999574;;-0.33000000000000007;5.0;Avanço;Recuo;Avanço;Recuo;Avanço;Sem dados;Recuo;Avanço;Alto desempenho (estrelas resilientes)
RA-855;2024;Aluno-855;10;Fase 2;2I;Escola Pública;8.578533333400001;Topázio;Pré-ingresso;Pré-ingresso;8.5;10.0;9.002;7.51;7.386666667;10.0;9.0;8.0;;Não avaliado;0;Fase 2 (5° e 6° ano);7.5;Não;-0.051416666599997995;1.7000000000000002;0.0;-0.49799999999999933;-0.009999999999999787;-0.9375;-1.2833333329999999;0.0;Recuo;Avanço;Neutra;Recuo;Recuo;Recuo;Recuo;Neutra;Alto desempenho (estrelas resilientes)
RA-856;2022;Aluno-856;7;Alfa;Z;Escola Pública;8.398;Topázio;Pré-ingresso;Pré-ingresso;8.4;9.1;10.0;7.5;8.0;10.0;8.5;8.2;;Não;0;ALFA  (2º e 3º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-856;2023;Aluno-856;8;Alfa;ALFA J - G2/G3;Escola Pública;7.3355;Ametista;Pré-ingresso;Pré-ingresso;7.3;9.6;0.0;7.52;8.255;10.0;7.5;7.0;;Não avaliado;0;ALFA (1° e 2° ano);5.625;Não;-1.0625;-1.1000000000000005;0.5;-10.0;0.019999999999999574;;0.2550000000000008;0.0;Recuo;Recuo;Avanço;Recuo;Avanço;Sem dados;Avanço;Neutra;Crise de autopercepção (invisíveis)
RA-857;2022;Aluno-857;9;Alfa;Z;Escola Pública;8.154;Topázio;Pré-ingresso;Pré-ingresso;9.5;8.9;8.5;7.5;9.083;5.0;9.6;9.3;;Sim;-1;Fase 1 (4º ano);;Sim;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-857;2023;Aluno-857;9;Alfa;ALFA D - G2/G3;Escola Pública;8.1442;Topázio;Pré-ingresso;Pré-ingresso;8.5;9.0;8.5;7.52;9.01;5.0;8.7;8.2;;Não avaliado;-1;Fase 1 (3° e 4° ano);7.5;Sim;-0.009800000000000253;-1.0;0.09999999999999964;0.0;0.019999999999999574;;-0.0730000000000004;0.0;Recuo;Recuo;Avanço;Neutra;Avanço;Sem dados;Recuo;Neutra;Alto desempenho (estrelas resilientes)
RA-858;2022;Aluno-858;7;Alfa;Z;Escola Pública;7.523;Ametista;Pré-ingresso;Pré-ingresso;7.7;7.1;10.0;5.6;7.333;10.0;8.4;6.9;;Não;0;ALFA  (2º e 3º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-858;2023;Aluno-858;8;Alfa;ALFA F - G0/G1;Escola Pública;7.248833333;Ametista;Pré-ingresso;Pré-ingresso;9.3;8.1;0.0;3.77;7.946666667;10.0;9.3;9.2;;Não avaliado;0;ALFA (1° e 2° ano);8.125;Não;-0.27416666699999936;1.6000000000000005;1.0;-10.0;-1.8299999999999996;;0.6136666669999995;0.0;Recuo;Avanço;Avanço;Recuo;Recuo;Sem dados;Avanço;Neutra;Crise de autopercepção (invisíveis)
RA-858;2024;Aluno-858;9;Alfa;ALFA J - G2/G3;Escola Pública;6.917866666700001;Ágata;Pré-ingresso;Pré-ingresso;8.25;6.833333333500001;9.002;2.51;7.5;5.0;10.0;6.5;;Não avaliado;-1;Fase 1 (3° e 4° ano);7.5;Não;-0.33096666629999927;-1.0500000000000007;-1.266666666499999;9.002;-1.2600000000000002;-0.625;-0.4466666669999997;-5.0;Recuo;Recuo;Recuo;Avanço;Recuo;Recuo;Recuo;Recuo;Esforçados em risco emocional
RA-859;2022;Aluno-859;7;Alfa;Z;Escola Pública;8.325;Topázio;Pré-ingresso;Pré-ingresso;8.9;8.7;8.5;7.5;8.25;10.0;9.4;8.4;;Não;0;ALFA  (2º e 3º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-859;2023;Aluno-859;8;Alfa;ALFA J - G2/G3;Escola Pública;8.6042;Topázio;Pré-ingresso;Pré-ingresso;7.3;9.2;8.0;7.52;10.01;10.0;6.8;7.8;;Não avaliado;0;ALFA (1° e 2° ano);7.5;Sim;0.2792000000000012;-1.6000000000000005;0.5;-0.5;0.019999999999999574;;1.7599999999999998;0.0;Avanço;Recuo;Avanço;Recuo;Avanço;Sem dados;Avanço;Neutra;Alto desempenho (estrelas resilientes)
RA-859;2024;Aluno-859;9;Fase 1;1G;Escola Pública;8.5817909091;Topázio;Pré-ingresso;Pré-ingresso;8.0;9.337121212;8.002;7.51;8.336666667;10.0;8.0;8.0;;Não avaliado;0;Fase 1 (3° e 4° ano);8.958333333;Não;-0.022409090900000095;0.7000000000000002;0.13712121200000027;0.002000000000000668;-0.009999999999999787;1.4583333330000006;-1.6733333330000004;0.0;Recuo;Avanço;Avanço;Avanço;Recuo;Avanço;Recuo;Neutra;Alto desempenho (estrelas resilientes)
RA-86;2022;Aluno-86;16;Fase 5;K;Rede Decisão;7.566;Ametista;Topázio;Ametista;6.7;9.6;7.5;5.6;8.458;5.0;6.2;7.2;6.9;Sim;-1;Fase 6 (2º EM);;Sim;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-86;2023;Aluno-86;17;Fase 7;7E;Privada - Parcerias com Bolsa 100%;;Sem registro;Topázio;Ametista;;;8.3;6.89;;10.0;;;;Não avaliado;0;Fase 7 (3° EM);;Sem dado;;;;0.8000000000000007;1.29;;;5.0;Sem dados;Sem dados;Sem dados;Avanço;Avanço;Sem dados;Sem dados;Avanço;Dados incompletos para perfil
RA-86;2024;Aluno-86;18;Fase 7;7E;Privada - Parcerias com Bolsa 100%;7.611233333266666;Ametista;Topázio;Ametista;5.483333333333333;9.704333333;6.667;6.57;7.5;10.0;6.35;6.3;3.8;Não avaliado;0;Fase 7 (3° EM);7.5;Não;;;;-1.633000000000001;-0.3199999999999994;;;0.0;Sem dados;Sem dados;Sem dados;Recuo;Recuo;Sem dados;Sem dados;Neutra;Alto desempenho (estrelas resilientes)
RA-860;2022;Aluno-860;7;Alfa;Z;Escola Pública;8.136;Topázio;Pré-ingresso;Pré-ingresso;8.1;8.5;9.5;7.5;7.75;10.0;8.9;7.2;;Não;0;ALFA  (2º e 3º ano);;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-860;2023;Aluno-860;8;Alfa;ALFA G - G2/G3;Escola Pública;8.2372;Topázio;Pré-ingresso;Pré-ingresso;7.4;9.8;7.0;6.89;8.34;10.0;7.2;7.5;;Não avaliado;0;ALFA (1° e 2° ano);7.5;Não;0.1012000000000004;-0.6999999999999993;1.3000000000000007;-2.5;-0.6100000000000003;;0.5899999999999999;0.0;Avanço;Recuo;Avanço;Recuo;Recuo;Sem dados;Avanço;Neutra;Alto desempenho (estrelas resilientes)
RA-860;2024;Aluno-860;9;Fase 1;1G;Escola Pública;8.7738666667;Topázio;Pré-ingresso;Pré-ingresso;8.5;9.7916666665;9.002;7.51;7.946666667;10.0;8.0;9.0;;Não avaliado;0;Fase 1 (3° e 4° ano);8.75;Não;0.5366666667000004;1.0999999999999996;-0.008333333500001316;2.0020000000000007;0.6200000000000001;1.25;-0.3933333330000002;0.0;Avanço;Avanço;Recuo;Avanço;Avanço;Avanço;Recuo;Neutra;Alto desempenho (estrelas resilientes)
RA-861;2023;Aluno-861;8;Alfa;ALFA A - G0/G1;Escola Pública;9.31095;Topázio;Pré-ingresso;Pré-ingresso;9.6;10.0;9.5;8.13;8.92;10.0;9.8;9.4;;Não avaliado;0;ALFA (1° e 2° ano);8.4375;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-861;2024;Aluno-861;9;Alfa;ALFA B - G2/G3;Escola Pública;8.959700000000002;Topázio;Pré-ingresso;Pré-ingresso;10.0;10.0;9.502;7.51;9.73;5.0;10.0;10.0;;Não avaliado;-1;Fase 1 (3° e 4° ano);8.125;Sim;-0.3512499999999985;0.40000000000000036;0.0;0.002000000000000668;-0.620000000000001;-0.3125;0.8100000000000005;-5.0;Recuo;Avanço;Neutra;Avanço;Recuo;Recuo;Avanço;Recuo;Alto desempenho (estrelas resilientes)
RA-862;2023;Aluno-862;9;Alfa;ALFA A - G0/G1;Escola Pública;8.2212;Topázio;Pré-ingresso;Pré-ingresso;8.9;9.1;8.5;8.14;8.585;5.0;8.5;9.2;;Não avaliado;-1;Fase 1 (3° e 4° ano);7.5;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-862;2024;Aluno-862;10;Alfa;ALFA B - G2/G3;Escola Pública;7.346677272700001;Ametista;Pré-ingresso;Pré-ingresso;7.5;8.6136363635;9.002;7.51;6.27;5.0;10.0;5.0;;Não avaliado;-2;Fase 2 (5° e 6° ano);7.1875;Não;-0.8745227272999987;-1.4000000000000004;-0.48636363650000014;0.5020000000000007;-0.6300000000000008;-0.3125;-2.3150000000000013;0.0;Recuo;Recuo;Recuo;Avanço;Recuo;Recuo;Recuo;Neutra;Alto desempenho (estrelas resilientes)
RA-863;2023;Aluno-863;7;Alfa;ALFA A - G0/G1;Escola Pública;5.92975;Quartzo;Pré-ingresso;Pré-ingresso;6.3;7.6;0.0;3.14;6.26;10.0;7.0;5.5;;Não avaliado;0;ALFA (1° e 2° ano);5.9375;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Crise de autopercepção (invisíveis)
RA-863;2024;Aluno-863;8;Alfa;ALFA E - G2/G3;Escola Pública;4.6684348484000004;Quartzo;Pré-ingresso;Pré-ingresso;5.5;3.159090909;8.502;2.51;4.333333333;5.0;10.0;1.0;;Não avaliado;-1;Fase 1 (3° e 4° ano);4.6875;Não;-1.2613151515999999;-0.7999999999999998;-4.440909091;8.502;-0.6300000000000003;-1.25;-1.926666667;-5.0;Recuo;Recuo;Recuo;Avanço;Recuo;Recuo;Recuo;Recuo;Alerta acadêmico (desfocados)
RA-864;2023;Aluno-864;8;Alfa;ALFA A - G0/G1;Escola Pública;7.034;Ametista;Pré-ingresso;Pré-ingresso;6.3;7.6;0.0;8.14;8.5;10.0;7.0;5.5;;Não avaliado;0;ALFA (1° e 2° ano);7.5;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Crise de autopercepção (invisíveis)
RA-865;2023;Aluno-865;8;Alfa;ALFA A - G0/G1;Escola Pública;8.1552;Topázio;Pré-ingresso;Pré-ingresso;7.4;8.7;8.5;7.52;7.915;10.0;7.3;7.5;;Não avaliado;0;ALFA (1° e 2° ano);7.5;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-866;2023;Aluno-866;7;Alfa;ALFA A - G0/G1;Escola Pública;7.679;Ametista;Pré-ingresso;Pré-ingresso;8.6;8.3;0.0;8.76;8.415;10.0;8.2;8.9;;Não avaliado;0;ALFA (1° e 2° ano);7.5;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Crise de autopercepção (invisíveis)
RA-867;2023;Aluno-867;8;Alfa;ALFA A - G0/G1;Escola Pública;8.6992;Topázio;Pré-ingresso;Pré-ingresso;8.9;8.6;9.0;8.76;8.415;10.0;8.7;9.0;;Não avaliado;0;ALFA (1° e 2° ano);7.5;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-867;2024;Aluno-867;9;Alfa;ALFA B - G2/G3;Escola Pública;7.583018181800001;Ametista;Pré-ingresso;Pré-ingresso;8.5;7.409090909;9.002;7.51;7.5;5.0;10.0;7.0;;Não avaliado;-1;Fase 1 (3° e 4° ano);7.5;Não;-1.1161818181999985;-0.40000000000000036;-1.190909091;0.002000000000000668;-1.25;0.0;-0.9149999999999991;-5.0;Recuo;Recuo;Recuo;Avanço;Recuo;Neutra;Recuo;Recuo;Alto desempenho (estrelas resilientes)
RA-868;2023;Aluno-868;7;Alfa;ALFA A - G0/G1;Escola Pública;8.63895;Topázio;Pré-ingresso;Pré-ingresso;7.1;9.5;10.0;8.76;8.67;10.0;7.8;6.3;;Não avaliado;0;ALFA (1° e 2° ano);7.1875;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-868;2024;Aluno-868;8;Alfa;ALFA A - G0/G1;Escola Pública;7.156366666600001;Ametista;Pré-ingresso;Pré-ingresso;7.0;9.75;8.002;3.76;7.213333333;5.0;8.0;6.0;;Não avaliado;-1;Fase 1 (3° e 4° ano);6.875;Não;-1.4825833333999983;-0.09999999999999964;0.25;-1.9979999999999993;-5.0;-0.3125;-1.4566666670000004;-5.0;Recuo;Recuo;Avanço;Recuo;Recuo;Recuo;Recuo;Recuo;Esforçados em risco emocional
RA-869;2023;Aluno-869;8;Alfa;ALFA A - G0/G1;Escola Pública;9.2587;Topázio;Pré-ingresso;Pré-ingresso;9.6;10.0;9.0;8.76;8.75;10.0;9.8;9.4;;Não avaliado;0;ALFA (1° e 2° ano);8.125;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-87;2022;Aluno-87;15;Fase 5;K;Rede Decisão;8.712;Topázio;Pré-ingresso;Ametista;8.8;9.6;8.3;7.5;8.5;10.0;8.3;8.0;10.0;Sim;0;Fase 5 (1º EM);;Sim;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-87;2023;Aluno-87;16;Fase 6;6L;Privada - Programa de Apadrinhamento;8.6625;Topázio;Pré-ingresso;Ametista;9.3;10.0;7.5;5.63;8.385;10.0;9.5;8.7;9.7;Não avaliado;0;Fase 6 (2° EM);8.125;Não;-0.0495000000000001;0.5;0.40000000000000036;-0.8000000000000007;-1.87;;-0.11500000000000021;0.0;Recuo;Avanço;Avanço;Recuo;Recuo;Sem dados;Recuo;Neutra;Alto desempenho (estrelas resilientes)
RA-87;2024;Aluno-87;17;Fase 7;7A;Privada - Programa de Apadrinhamento;9.437924561333332;Topázio;Pré-ingresso;Ametista;9.166666666666666;9.649122807;8.751;9.375;9.623333333;10.0;10.0;7.5;10.0;Não avaliado;1;Fase 6 (2° EM);9.375;Sim;0.7754245613333328;-0.13333333333333464;-0.35087719300000053;1.2509999999999994;3.745;1.25;1.238333333;0.0;Avanço;Recuo;Recuo;Avanço;Avanço;Avanço;Avanço;Neutra;Alto desempenho (estrelas resilientes)
RA-870;2023;Aluno-870;9;Alfa;ALFA A - G0/G1;Escola Pública;4.909;Quartzo;Pré-ingresso;Pré-ingresso;1.5;8.5;0.0;8.76;5.165;5.0;2.0;1.0;;Não avaliado;-1;Fase 1 (3° e 4° ano);5.0;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Crise de autopercepção (invisíveis)
RA-871;2023;Aluno-871;9;Alfa;ALFA B - G2/G3;Escola Pública;6.8617;Ágata;Pré-ingresso;Pré-ingresso;6.9;9.5;9.0;3.76;6.84;5.0;6.8;7.0;;Não avaliado;-1;Fase 1 (3° e 4° ano);4.375;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Esforçados em risco emocional
RA-871;2024;Aluno-871;10;Fase 1;1B;Escola Pública;7.2917293147999995;Ametista;Pré-ingresso;Pré-ingresso;7.25;9.328063240999999;8.502;4.38;5.783333333;10.0;6.0;8.5;;Não avaliado;0;Fase 1 (3° e 4° ano);5.3125;Não;0.4300293147999996;0.34999999999999964;-0.17193675900000116;-0.49799999999999933;0.6200000000000001;0.9375;-1.056666667;5.0;Avanço;Avanço;Recuo;Recuo;Avanço;Avanço;Recuo;Avanço;Esforçados em risco emocional
RA-872;2023;Aluno-872;10;Alfa;ALFA B - G2/G3;Escola Pública;5.267;Quartzo;Pré-ingresso;Pré-ingresso;4.3;6.7;0.0;2.52;8.5;5.0;5.5;3.0;;Não avaliado;-2;Fase 2 (5° e 6° ano);6.25;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Crise de autopercepção (invisíveis)
RA-873;2023;Aluno-873;11;Alfa;ALFA B - G2/G3;Escola Pública;7.8012;Ametista;Pré-ingresso;Pré-ingresso;7.0;9.7;8.5;7.52;8.67;5.0;7.2;6.8;;Não avaliado;-2;Fase 2 (5° e 6° ano);6.25;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-873;2024;Aluno-873;12;Fase 1;1B;Escola Pública;7.61095;Ametista;Pré-ingresso;Pré-ingresso;6.75;10.0;8.002;6.88;7.77;5.0;7.0;6.5;;Não avaliado;-2;Fase 3 (7° e 8° ano);7.1875;Não;-0.1902499999999998;-0.25;0.3000000000000007;-0.49799999999999933;-0.6399999999999997;0.9375;-0.9000000000000004;0.0;Recuo;Recuo;Avanço;Recuo;Recuo;Avanço;Recuo;Neutra;Alto desempenho (estrelas resilientes)
RA-874;2023;Aluno-874;9;Alfa;ALFA B - G2/G3;Escola Pública;5.811;Quartzo;Pré-ingresso;Pré-ingresso;4.8;8.2;0.0;7.52;6.67;5.0;6.3;3.3;;Não avaliado;-1;Fase 1 (3° e 4° ano);6.25;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Crise de autopercepção (invisíveis)
RA-874;2024;Aluno-874;10;Fase 1;1E;Escola Pública;7.0235939394;Ametista;Pré-ingresso;Pré-ingresso;7.75;4.696969697;9.502;6.26;7.915;5.0;6.0;9.5;;Não avaliado;-1;Fase 2 (5° e 6° ano);8.75;Não;1.2125939394000005;2.95;-3.503030302999999;9.502;-1.2599999999999998;2.5;1.245;0.0;Avanço;Avanço;Recuo;Avanço;Recuo;Avanço;Avanço;Neutra;Alerta acadêmico (desfocados)
RA-875;2023;Aluno-875;9;Alfa;ALFA B - G2/G3;Escola Pública;8.2712;Topázio;Pré-ingresso;Pré-ingresso;7.3;9.5;9.5;7.52;9.845;5.0;7.0;7.5;;Não avaliado;-1;Fase 1 (3° e 4° ano);7.5;Sim;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-876;2023;Aluno-876;8;Alfa;ALFA B - G2/G3;Escola Pública;8.6492;Topázio;Pré-ingresso;Pré-ingresso;7.5;9.4;10.0;7.52;8.835;10.0;7.3;7.7;;Não avaliado;0;ALFA (1° e 2° ano);7.5;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-876;2024;Aluno-876;9;Fase 1;1K;Escola Pública;7.612057142800001;Ametista;Pré-ingresso;Pré-ingresso;3.75;9.0476190475;8.502;7.51;8.09;10.0;7.5;0.0;;Não avaliado;0;Fase 1 (3° e 4° ano);8.333333333;Não;-1.0371428571999992;-3.75;-0.3523809525000008;-1.4979999999999993;-0.009999999999999787;0.8333333330000006;-0.745000000000001;0.0;Recuo;Recuo;Recuo;Recuo;Recuo;Avanço;Recuo;Neutra;Alerta acadêmico (desfocados)
RA-877;2023;Aluno-877;9;Alfa;ALFA B - G2/G3;Escola Pública;7.4722;Ametista;Pré-ingresso;Pré-ingresso;6.9;9.5;9.5;7.52;7.5;5.0;7.5;6.2;;Não avaliado;-1;Fase 1 (3° e 4° ano);5.0;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-878;2023;Aluno-878;10;Alfa;ALFA B - G2/G3;Escola Pública;6.24;Ágata;Pré-ingresso;Pré-ingresso;8.1;9.5;0.0;2.52;7.34;5.0;8.0;8.2;;Não avaliado;-2;Fase 2 (5° e 6° ano);5.0;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Crise de autopercepção (invisíveis)
RA-878;2024;Aluno-878;11;Fase 1;1B;Escola Pública;6.5335560606000005;Ágata;Pré-ingresso;Pré-ingresso;6.75;6.1363636360000005;9.002;4.38;6.996666667;5.0;6.0;7.5;;Não avaliado;-1;Fase 2 (5° e 6° ano);7.1875;Não;0.2935560606000003;-1.3499999999999996;-3.3636363639999995;9.002;1.8599999999999999;2.1875;-0.34333333299999946;0.0;Avanço;Recuo;Recuo;Avanço;Avanço;Avanço;Recuo;Neutra;Esforçados em risco emocional
RA-879;2023;Aluno-879;9;Alfa;ALFA B - G2/G3;Escola Pública;6.8225;Ágata;Pré-ingresso;Pré-ingresso;8.2;9.8;0.0;2.52;8.915;5.0;8.2;8.2;;Não avaliado;-1;Fase 1 (3° e 4° ano);6.875;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Crise de autopercepção (invisíveis)
RA-879;2024;Aluno-879;10;Fase 1;1A;Escola Pública;8.1096318182;Topázio;Pré-ingresso;Pré-ingresso;8.5;9.090909091;9.502;6.26;8.67;5.0;8.0;9.0;;Não avaliado;-1;Fase 2 (5° e 6° ano);7.8125;Sim;1.2871318182000007;0.3000000000000007;-0.7090909090000004;9.502;3.7399999999999998;0.9375;-0.24499999999999922;0.0;Avanço;Avanço;Recuo;Avanço;Avanço;Avanço;Recuo;Neutra;Alto desempenho (estrelas resilientes)
RA-88;2022;Aluno-88;17;Fase 5;K;Escola Pública;7.498;Ametista;Pré-ingresso;Ametista;6.5;9.2;7.1;5.6;9.208;5.0;6.8;6.2;6.4;Sim;-2;Fase 7 (3º EM);;Sim;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Alto desempenho (estrelas resilientes)
RA-88;2023;Aluno-88;18;Fase 8;8E;Privada - Pagamento por Empresa Parceira;;Sem registro;Pré-ingresso;Ametista;;;;;;10.0;;;;Não avaliado;0;Fase 8 (Universitários);;Sem dado;;;;;;;;5.0;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Avanço;Dados incompletos para perfil
RA-88;2024;Aluno-88;19;Fase 8;8E;Privada - Parcerias com Bolsa 100%;;Sem registro;Pré-ingresso;Ametista;;0.0;;;;10.0;;;;Não avaliado;0;Fase 8 (Universitários);;Sem dado;;;;;;;;0.0;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Sem dados;Neutra;Dados incompletos para perfil
RA-880;2023;Aluno-880;7;Alfa;ALFA B - G2/G3;Escola Pública;6.724;Ágata;Pré-ingresso;Pré-ingresso;6.3;9.4;0.0;2.52;8.585;10.0;6.3;6.2;;Não avaliado;0;ALFA (1° e 2° ano);6.25;Não;;;;;;;;;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Primeiro ano;Crise de autopercepção (invisíveis)
RA-880;2024;Aluno-880;8;Alfa;ALFA E - G2/G3;Escola Pública;6.853080434800001;Ágata;Pré-ingresso;Pré-ingresso;6.5;8.445652174;9.502;2.51;7.22;5.0;7.5;5.5;;Não avaliado;-1;Fase 1 (3° e 4° ano);7.1875;Não;0.12908043480000053;0.20000000000000018;-0.9543478260000011;9.502;-0.010000000000000231;0.9375;-1.365000000000001;-5.0;Avanço;Avanço;Recuo;Avanço;Recuo;Avanço;Recuo;Recuo;Esforçados em risco emocional
